city,country,longitude,latitude,sqm,total_rooms,max_guests,has_wifi,has_pool,distance_to_center,distance_to_sea,typeOfRental,nombre_etoiles,rental_rent
Madrid,Spain,-3.7160739329842367,40.42780307250976,57,2,5,0,0,5.18,12.35,DAILY,2,89115978517454048
Sevilla,Spain,-5.9863427164243355,37.38972359435808,167,4,9,1,1,11.05,5.66,DAILY,1,164000917288372928
Madrid,Spain,-3.7333244655928772,40.437719620062715,173,4,10,0,0,9.12,13.94,DAILY,2,163664885626190048
New York,USA,-74.05097081556603,40.75324640549429,121,4,10,1,1,13.63,15.34,DAILY,4,474564047002021888
Lyon,France,4.798110567383057,45.78046723915204,17,1,2,0,0,0.83,14.3,DAILY,5,212721272043853184
Miami,USA,-80.19798809403902,25.732514247854144,156,5,10,0,0,9.46,19.63,DAILY,3,291580729189028480
Abu Dhabi,UAE,54.36432666355376,24.439787114676832,89,2,6,1,0,6.97,11.14,DAILY,2,195917391495434176
Miami,USA,-80.21504716021748,25.7630917668864,36,2,6,0,0,12.1,16.43,DAILY,5,304836181802226752
Dubai,UAE,55.269686439966534,25.16573526138498,45,1,1,0,0,0.14,9.41,DAILY,2,134502515022147712
Marseille,France,5.387176210009219,43.28792017560903,131,3,8,0,1,14.41,11.0,DAILY,4,275168444793740864
Paris,France,2.3369186756258773,48.813653576584635,50,2,5,0,0,8.48,10.14,DAILY,5,212351610571264128
Abu Dhabi,UAE,54.38330990207752,24.47935264349893,183,5,10,0,0,10.21,2.58,DAILY,3,333502635099792192
Rabat,Morocco,-6.816238226631963,33.987709731689584,138,4,8,1,1,5.7,17.18,DAILY,4,84768040184467216
Marrakech,Morocco,-8.027182051864365,31.615183536813827,25,1,4,0,0,6.08,4.82,DAILY,4,51515978752954040
Marseille,France,5.412421740878233,43.29376972277127,86,2,4,0,0,3.84,15.67,DAILY,5,210332297070684832
Dubai,UAE,55.226884159671364,25.180574892985017,119,4,8,1,0,4.03,13.15,DAILY,5,357754441625757568
Lyon,France,4.876422251347063,45.769593206760966,93,2,3,0,0,9.82,11.05,DAILY,5,204520335957984320
Chicago,USA,-87.65309469962114,41.86113305840998,60,1,3,1,0,2.69,16.17,DAILY,4,258005990679395840
Lyon,France,4.813750178738134,45.78458115072007,185,6,13,1,0,2.24,12.73,DAILY,4,335394636585163968
Tangier,Morocco,-5.868432262621486,35.75803623513007,197,6,11,0,1,7.81,7.36,DAILY,5,108663340945584064
Abu Dhabi,UAE,54.329074367137274,24.43915697626634,61,2,5,1,1,0.7,6.02,DAILY,3,274432805241145984
Paris,France,2.3699047086589924,48.845268443945116,189,5,9,1,0,1.35,1.12,DAILY,3,341564810286469248
Chicago,USA,-87.58177559147755,41.902305969025754,39,2,5,0,0,3.64,7.08,DAILY,1,114448990542014192
Rabat,Morocco,-6.819444694977187,34.063518662395694,155,4,9,1,0,14.15,19.48,DAILY,3,59731679986966160
Marrakech,Morocco,-7.9498726360148595,31.632418249654815,33,1,3,1,0,6.84,10.53,DAILY,4,45639950494633336
Nice,France,7.233998500478047,43.70096954125428,136,3,7,1,1,11.43,10.78,DAILY,5,310513332435548480
Abu Dhabi,UAE,54.345032550718365,24.435064406626122,69,2,3,0,0,8.56,5.09,DAILY,5,267557220917991456
Lyon,France,4.8660091094270985,45.80483536581431,146,4,7,1,1,12.31,1.87,DAILY,1,239476925746217120
Sevilla,Spain,-6.015819502398383,37.35431013229368,120,4,8,1,1,0.95,11.01,DAILY,3,207274487861920768
Paris,France,2.3649841832481964,48.84667251754933,91,2,4,1,1,12.98,12.97,DAILY,4,272091622487704512
Rabat,Morocco,-6.8010571858255835,33.991006356215564,65,2,3,0,0,0.48,16.89,DAILY,5,66000242039926384
Sevilla,Spain,-5.968481963240994,37.34461390308838,196,6,13,0,0,13.22,14.81,DAILY,2,161842232820605824
Barcelona,Spain,2.184953584963375,41.42157913749954,143,4,8,0,1,12.1,3.05,DAILY,3,233637250343861120
Dubai,UAE,55.258331238849856,25.183114951535156,125,3,8,0,1,13.32,1.19,DAILY,3,384266325471652608
Paris,France,2.3795734466691707,48.9011205014336,26,1,2,1,0,7.24,11.11,DAILY,3,129409424234659344
Nice,France,7.239684374207752,43.7486476340484,122,4,10,1,1,7.65,1.29,DAILY,5,385153064949987008
Marseille,France,5.350889703296744,43.28482568850616,129,3,5,0,1,13.59,1.14,DAILY,1,171596305690619744
Marseille,France,5.390057259011806,43.29252746944916,163,5,10,0,0,11.27,6.34,DAILY,3,209687620759688672
Casablanca,Morocco,-7.577661725130375,33.56782978972638,63,1,4,0,0,13.65,11.64,DAILY,1,21498301529453900
Sevilla,Spain,-5.960910920913497,37.40687326505111,144,4,9,1,0,7.73,3.35,DAILY,1,126368851220274752
Miami,USA,-80.1616123170461,25.808029700787536,52,2,5,1,0,11.5,10.34,DAILY,4,276637957783660864
Marrakech,Morocco,-7.966776954059508,31.6670276347593,27,1,4,0,0,2.82,0.17,DAILY,1,28024722733745544
Miami,USA,-80.1721586687985,25.760700883529235,62,2,3,1,1,7.68,10.15,DAILY,1,199891225744350528
Barcelona,Spain,2.1912229890719472,41.35256580254842,64,1,2,0,1,5.98,9.68,DAILY,2,137105188535909952
Chicago,USA,-87.64906926276072,41.83806246639219,18,1,1,1,0,3.87,10.5,DAILY,1,77198762563564896
Abu Dhabi,UAE,54.35978804707905,24.410932374099975,141,5,12,1,0,5.85,14.79,DAILY,5,423093040097307392
Abu Dhabi,UAE,54.342985745544965,24.457480675064,68,1,1,0,0,10.97,6.61,DAILY,5,258484926864620000
Marrakech,Morocco,-8.023059109143901,31.635125909817237,168,4,10,0,0,1.86,7.63,DAILY,5,92756132102309264
Abu Dhabi,UAE,54.365098487324666,24.42678206817682,75,2,5,0,0,2.87,7.81,DAILY,2,177830541989519072
Tangier,Morocco,-5.852352021184024,35.80258192879357,142,4,8,1,1,1.77,8.61,DAILY,5,104691034510905552
Paris,France,2.3580049654488873,48.85352912132627,175,5,9,0,1,7.95,10.81,DAILY,3,280774023628756864
Dubai,UAE,55.26461429090768,25.186040593323195,60,1,3,0,0,2.25,5.29,DAILY,5,257826593612782048
Sevilla,Spain,-6.028551836639865,37.342252879002125,185,6,11,0,0,3.01,8.24,DAILY,4,210344005091999200
Sevilla,Spain,-5.9747409459280725,37.43420101127319,62,1,2,0,1,11.23,15.14,DAILY,1,95061551590949680
Dubai,UAE,55.29159776496133,25.170168782969974,98,3,5,1,0,9.16,15.84,DAILY,5,343468343140561408
Barcelona,Spain,2.2180008885630023,41.369672783147436,192,5,10,1,0,11.45,19.64,DAILY,1,145459935716355584
New York,USA,-74.0095543788088,40.734733702219906,34,1,4,0,0,14.25,7.84,DAILY,2,148259966963710528
Tangier,Morocco,-5.8660035332632345,35.74555694770894,182,6,11,1,0,1.01,8.13,DAILY,3,77610813221035440
New York,USA,-73.9852234207288,40.752806618349126,128,3,7,0,1,2.73,8.43,DAILY,3,426260433330327808
Los Angeles,USA,-118.28104567108667,34.06544997184989,33,1,2,1,0,6.49,3.31,DAILY,2,149691141639218528
Casablanca,Morocco,-7.6212748868800295,33.559495224676475,150,5,12,1,0,3.3,13.65,DAILY,5,85392937640692608
Dubai,UAE,55.31523461248431,25.17574526953934,143,4,8,1,1,10.45,11.95,DAILY,4,432627550360919744
Barcelona,Spain,2.201171053200696,41.42501359795847,20,1,4,1,0,13.25,6.02,DAILY,3,123161955188772592
Miami,USA,-80.19449927929536,25.76477078155615,84,2,5,0,0,10.28,7.38,DAILY,2,197151160594904864
Paris,France,2.3709187104390215,48.86346946319103,149,4,9,1,1,12.77,12.82,DAILY,5,343628303940568064
Chicago,USA,-87.65802750412763,41.912945490262516,73,2,5,1,1,12.6,2.11,DAILY,3,320172748240514816
Madrid,Spain,-3.7395551027751184,40.421235769259525,179,5,12,1,0,10.59,2.5,DAILY,5,255116600232906720
Abu Dhabi,UAE,54.41599355791188,24.419144704723447,197,5,9,1,1,8.03,6.42,DAILY,1,290699648824451520
Paris,France,2.323367573622845,48.862410506596234,31,1,2,0,0,3.02,7.22,DAILY,2,102696433360207872
Sevilla,Spain,-5.970118800127176,37.38146272423195,188,6,14,0,0,8.55,0.17,DAILY,2,216839092089508992
Casablanca,Morocco,-7.6188059940930275,33.617769723525406,131,4,10,1,0,3.08,14.58,DAILY,1,37720006684549632
